Timestamp,Target_ID,Target_Type,Attack_Type,Intensity,PPO_Reward_Impact
1781807226.7331393,1,Intersection,DATA_POISONING,0.7,0.03736654669046402
1781807226.8484015,1,Intersection,DATA_POISONING,0.7,0.04998061805963516
1781807226.985373,1,Intersection,DATA_POISONING,0.7,0.14994186162948608
1781807227.1413422,1,Intersection,DATA_POISONING,0.7,0.04998061805963516
1781807227.2849457,1,Intersection,DATA_POISONING,0.7,0.08355414122343063
1781807227.4532368,1,Intersection,DATA_POISONING,0.7,0.08355414122343063
1781807227.6453514,1,Intersection,DATA_POISONING,0.7,0.03534163534641266
1781807227.8239448,1,Intersection,DATA_POISONING,0.7,0.04998061805963516
1781807227.9972634,1,Intersection,DATA_POISONING,0.7,0.03736654669046402
1781807228.244666,1,Intersection,DATA_POISONING,0.7,0.10568855702877045
1781807228.4893763,1,Intersection,DATA_POISONING,0.7,0.03534163534641266
1781807228.6598473,1,Intersection,DATA_POISONING,0.7,0.04998061805963516
1781807228.8079948,1,Intersection,DATA_POISONING,0.7,0.0
1781807229.0183134,1,Intersection,DATA_POISONING,0.7,0.0
1781807229.174033,1,Intersection,DATA_POISONING,0.7,0.0
1781807230.1444068,10,Intersection,TEMPORAL_DOS,0.5,0.11644428968429565
1781807230.304545,10,Intersection,TEMPORAL_DOS,0.5,0.10415949672460556
1781807230.4512408,10,Intersection,TEMPORAL_DOS,0.5,0.09562398493289948
1781807230.6048377,10,Intersection,TEMPORAL_DOS,0.5,0.3279430866241455
1781807230.8353484,10,Intersection,TEMPORAL_DOS,0.5,0.05809444561600685
1781807231.0718749,10,Intersection,TEMPORAL_DOS,0.5,0.08013404160737991
1781807231.3426204,10,Intersection,TEMPORAL_DOS,0.5,0.14166857302188873
1781807231.5106153,10,Intersection,TEMPORAL_DOS,0.5,0.04544082283973694
1781807231.6674147,10,Intersection,TEMPORAL_DOS,0.5,0.003039531409740448
1781807231.8160527,10,Intersection,TEMPORAL_DOS,0.5,0.08974750339984894
1781807231.9795227,10,Intersection,TEMPORAL_DOS,0.5,0.08663277328014374
1781807232.150394,10,Intersection,TEMPORAL_DOS,0.5,0.13288305699825287
1781807232.2909281,10,Intersection,TEMPORAL_DOS,0.5,0.22059014439582825
1781807232.479254,10,Intersection,TEMPORAL_DOS,0.5,0.09218800812959671
1781807232.650141,10,Intersection,TEMPORAL_DOS,0.5,0.1429416984319687
1781807233.6581285,11,Intersection,FLOODING_DDOS,0.6,0.23165389895439148
1781807233.8238995,11,Intersection,FLOODING_DDOS,0.6,0.19924134016036987
1781807234.0423877,11,Intersection,FLOODING_DDOS,0.6,0.0031512975692749023
1781807234.2004144,11,Intersection,FLOODING_DDOS,0.6,0.07480935752391815
1781807234.3551533,11,Intersection,FLOODING_DDOS,0.6,0.33323732018470764
1781807234.5006359,11,Intersection,FLOODING_DDOS,0.6,0.5901151299476624
1781807234.658974,11,Intersection,FLOODING_DDOS,0.6,0.20423823595046997
1781807234.8478909,11,Intersection,FLOODING_DDOS,0.6,0.09092942625284195
1781807235.0847073,11,Intersection,FLOODING_DDOS,0.6,0.17594945430755615
